ad_id,total_area,ceiling_height,room_count,room_isolate,room_adjacent,room_both_variant,metro_time_minutes,transport_walk,transport_car,metro_station_encoded,flat,flat_all,type_bilding,parking_num,price_rent,deposit,prepayment_cnt_mon,commun_incl,renovation_num,balcony_count,loggia_count,windows_view_num,union_bath_num,split_bath_num,pass_elev,gruz_elev,garbage_chute_num,with_children,with_pets,dishwasher,bathtub,refrigerator,phone,kitchen_furniture,furniture_in_rooms,internet,washing_machine,air_conditioner,tv,shower_cabin,street_house_encoded,price_log,price_log_scaled
271271157,200.0,3.0,4,0,0,0,9,1,0,208,5,16,2,4,500000.0,1.0,1.0,1.0,4,0,1,3,0,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1460,13.122365377402328,3.0224128534471446
271634126,198.0,3.5,4,0,0,0,8,1,0,208,5,16,1,4,500000.0,1.0,1.0,1.0,4,0,1,3,2,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1460,13.122365377402328,3.0224128534471446
271173086,200.0,3.2,4,0,0,1,7,1,0,208,5,16,0,4,500000.0,1.0,1.0,0.0,3,0,1,3,3,0,1,0,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1460,13.122365377402328,3.0224128534471446
272197456,170.0,3.2,4,0,0,1,3,1,0,208,5,6,0,4,400000.0,1.0,1.0,0.0,3,1,0,3,3,0,1,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,826,12.899222326086994,2.7010548332042434
273614615,58.0,3.9,2,0,0,0,7,1,0,10,12,26,3,2,225000.0,1.0,1.0,1.0,3,1,1,3,2,0,1,1,2,0,0,1,1,1,0,1,1,1,1,0,1,1,1460,12.323860125621126,1.8724506863378312
274837728,92.0,3.3,3,0,0,0,5,1,0,208,3,7,0,4,470000.0,1.0,2.0,0.0,4,1,0,2,0,2,1,1,2,0,0,1,1,1,0,1,1,0,1,1,1,1,30,13.060490101343552,2.933303575344946
273643908,213.0,3.2,5,0,0,1,4,1,0,10,4,5,0,2,350000.0,1.0,1.0,0.0,3,0,0,3,2,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,829,12.765691290604371,2.5087509772215615
274475342,98.0,3.2,3,0,0,0,3,1,0,208,2,4,2,4,250000.0,1.0,1.0,1.0,3,0,0,2,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1197,12.429220196836383,2.0241843105703836
273973191,120.0,3.0,3,0,0,0,9,1,0,208,5,10,4,3,130000.0,1.0,1.0,1.0,3,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,724,11.775297421715827,1.0824416608854424
272900409,90.0,3.1,4,0,0,0,10,1,0,10,2,7,4,3,210000.0,1.0,1.0,1.0,3,1,0,3,1,1,1,0,2,1,0,1,1,1,0,1,1,1,1,1,1,0,1197,12.25486757159303,1.7730915064607085
271036964,170.0,3.2,4,0,0,1,5,1,0,208,6,7,0,4,290000.0,1.0,1.0,0.0,3,0,0,3,3,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,642,12.577639650232573,2.237929625191595
273999490,80.0,3.2,3,1,0,0,2,1,0,208,4,8,5,2,100000.0,1.0,1.0,1.0,3,3,0,3,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,724,11.51293546492023,0.7046027879028314
274017037,100.0,3.2,3,0,0,0,8,1,0,208,2,4,5,2,200000.0,1.0,1.0,1.0,4,0,0,2,2,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,294,12.206077645517674,1.702827010394384
273231024,180.0,3.1,5,0,0,0,9,1,0,208,6,8,2,4,500000.0,1.0,1.0,1.0,4,0,1,1,2,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1117,13.122365377402328,3.0224128534471446
274839211,222.2,3.05,5,0,0,1,5,1,0,95,5,9,2,4,450000.0,1.0,1.0,0.0,3,1,0,3,2,0,1,0,2,0,0,1,0,1,0,1,1,1,1,0,1,0,1622,13.017005083966255,2.870678909184724
274767901,225.0,3.05,5,0,0,0,6,1,0,95,5,9,2,4,450000.0,1.0,1.0,1.0,4,1,0,3,2,1,1,0,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1622,13.017005083966255,2.870678909184724
274995950,30.0,3.2,2,0,0,0,10,1,0,10,19,26,0,2,120000.0,1.0,1.0,1.0,3,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1460,11.695255355062795,0.9671695969598689
274945807,222.0,3.05,5,0,0,0,5,1,0,10,5,9,0,4,450000.0,1.0,1.0,0.0,4,1,0,3,2,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1622,13.017005083966255,2.870678909184724
272911145,150.0,2.7,5,1,0,0,12,1,0,3,4,7,5,2,180000.0,1.0,1.0,0.0,3,1,0,2,2,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,858,12.100717685412471,1.5510935461762574
274748017,201.0,3.2,5,0,0,1,6,1,0,95,3,3,0,3,190000.0,1.0,1.0,0.0,3,0,0,3,3,0,1,0,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1622,12.154784614286667,1.6289576836486455
273941734,64.0,3.2,2,0,0,1,9,1,0,10,12,26,0,2,205000.0,1.0,1.0,1.0,3,1,1,1,2,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1460,12.230770136157428,1.738387740876842
274493570,112.0,3.2,3,0,0,1,5,1,0,95,2,7,0,4,230000.0,1.0,1.0,0.0,3,1,0,3,2,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,831,12.345838935721968,1.9041033273663892
274849101,190.0,3.2,4,0,0,0,5,1,0,208,4,5,0,4,590000.0,1.0,1.0,0.0,4,0,0,3,2,0,1,0,2,0,0,1,1,1,0,1,1,0,1,0,1,1,634,13.28787951079572,3.2607769607585375
223918678,255.6,3.05,5,0,0,0,8,1,0,10,8,9,2,4,850000.0,1.0,1.0,1.0,3,1,0,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1622,13.652992804936396,3.786592506785126
274391259,186.0,3.3,5,0,0,0,5,1,0,10,3,3,6,3,190000.0,1.0,1.0,1.0,3,0,0,3,2,0,1,0,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1622,12.154784614286667,1.6289576836486455
272945376,100.0,3.2,3,0,0,1,5,1,0,10,3,8,0,2,200000.0,1.0,1.0,0.0,3,1,0,3,2,0,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,388,12.206077645517674,1.702827010394384
272612966,150.0,2.7,5,0,0,0,11,1,0,10,4,7,0,2,200000.0,1.0,1.0,0.0,3,1,0,2,2,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,858,12.206077645517674,1.702827010394384
